Repo Name,Username,Stars,URL
localstack,localstack,37400,https://www.github.com/localstack/localstack
drone,harness,24200,https://www.github.com/harness/drone
jenkins,jenkinsci,18100,https://www.github.com/jenkinsci/jenkins
volkswagen,auchenberg,12100,https://www.github.com/auchenberg/volkswagen
origin,openshift,8000,https://www.github.com/openshift/origin
gocd,gocd,6300,https://www.github.com/gocd/gocd
concourse,concourse,6000,https://www.github.com/concourse/concourse
onedev,theonedev,4800,https://www.github.com/theonedev/onedev
buildbot,buildbot,4700,https://www.github.com/buildbot/buildbot
strider,Strider-CD,4500,https://www.github.com/Strider-CD/strider
gaia,gaia-pipeline,4500,https://www.github.com/gaia-pipeline/gaia
jx,jenkins-x,4000,https://www.github.com/jenkins-x/jx
hygieia,hygieia,3700,https://www.github.com/hygieia/hygieia
xcpretty,xcpretty,3700,https://www.github.com/xcpretty/xcpretty
cds,ovh,3700,https://www.github.com/ovh/cds
cake,cake-build,3100,https://www.github.com/cake-build/cake
cml,iterative,2800,https://www.github.com/iterative/cml
werf,werf,2800,https://www.github.com/werf/werf
awesome-ci,ligurio,2700,https://www.github.com/ligurio/awesome-ci
tox,tox-dev,2500,https://www.github.com/tox-dev/tox
PHPCI,dancryer,2400,https://www.github.com/dancryer/PHPCI
ModernCppStarter,TheLartians,2300,https://www.github.com/TheLartians/ModernCppStarter
syncd,dreamans,2000,https://www.github.com/dreamans/syncd
setup-php,shivammathur,1900,https://www.github.com/shivammathur/setup-php
hound,houndci,1900,https://www.github.com/houndci/hound
fabric8,fabric8io,1800,https://www.github.com/fabric8io/fabric8
lastbackend,lastbackend,1500,https://www.github.com/lastbackend/lastbackend
nuke,nuke-build,1300,https://www.github.com/nuke-build/nuke
flow-core-x,FlowCI,1300,https://www.github.com/FlowCI/flow-core-x
flagsmith,Flagsmith,1200,https://www.github.com/Flagsmith/flagsmith
